GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Persona,pablo,Estudiante,0,89,0,4,0,21,0,13,0,11
Persona,pablo,Circulo,0,77,0,2,0,18,0,12,0,11
Persona,pablo,Persona,0,46,0,0,0,13,0,6,0,6
